Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
t	t	t	i	U+0074	176	Achang (Longchuan)	tum⁵⁵, tɔŋ³¹, tɔŋ³¹, ti⁵⁵, ti⁵⁵
p	p	p	i	U+0070	144	Achang (Longchuan)	poi³¹, pum⁵⁵, pum⁵⁵, pum⁵⁵, pum⁵⁵
l	l	l	i	U+006c	136	Achang (Longchuan)	lɔʔ³¹, laŋ³¹, le⁵⁵, laŋ³¹, laŋ³¹
k	k	k	i	U+006b	132	Achang (Longchuan)	kət³⁵, kɔʔ⁵⁵, ka³¹, kuaŋ³¹, kuaŋ³¹
x	x	x	i	U+0078	131	Achang (Longchuan)	xan³¹, xɔŋ⁵¹, xan³¹, xau³¹, xui³¹
m	m	m	i	U+006d	128	Achang (Longchuan)	mau³¹, mɔ³¹, mau³¹, mau³¹, mau³¹
s	s	s	i	U+0073	128	Achang (Longchuan)	sui⁵⁵, sɔʔ⁵⁵, să³¹|, se⁵⁵, siu³⁵
ts	ts	ts	i	U+0074 U+0073	86	Achang (Longchuan)	tsiʔ³¹, tsəŋ³¹, tsiʔ³¹, tsuŋ⁵¹, tset⁵⁵
th	th	tʰ	i	U+0074 U+0068	84	Achang (Longchuan)	thuaŋ³⁵, tha³⁵, thum³¹, the⁵⁵, thu⁵⁵
n	n	n	i	U+006e	84	Achang (Longchuan)	ni³¹, nam³¹, ni³¹, nam³¹, nă³¹
tɕh	tɕh	tɕʰ	i	U+0074 U+0255 U+0068	83	Achang (Longchuan)	tɕhɔ³¹, tɕhi³¹, tɕhi³¹, tɕhi⁵⁵, tɕhi⁵⁵
tɕ	tɕ	tɕ	i	U+0074 U+0255	76	Achang (Longchuan)	tɕin³¹, tɕu³¹, tɕam⁵⁵, tɕuʔ³¹, tɕoi⁵⁵
tʂ	tʂ	tʂ	i	U+0074 U+0282	74	Achang (Longchuan)	tʂuaŋ⁵⁵, tʂuak³⁵, tʂu³⁵, tʂo³⁵, tʂo⁵⁵
ȵ	ȵ	ȵ	i	U+0235	72	Achang (Longchuan)	ȵin³¹, ȵɔʔ⁵⁵, ȵɔʔ⁵⁵, ȵɔʔ⁵⁵, ȵau³⁵
ph	ph	pʰ	i	U+0070 U+0068	72	Achang (Longchuan)	phă³¹, pha³¹, pha³¹, phu⁵¹, phe⁵¹
ʐ	ʐ	ʐ	i	U+0290	63	Achang (Longchuan)	ʐau³¹, ʐo⁵⁵, ʐo⁵⁵, ʐəŋ³¹, ʐəŋ³¹
kʐ	k ʐ	k ʐ	i m	U+006b U+0290	59	Achang (Longchuan)	kʐə³¹, kʐə³¹, kʐuaʔ⁵⁵, kʐuaʔ⁵⁵, kʐuaʔ⁵⁵
ʂ	ʂ	ʂ	i	U+0282	52	Achang (Longchuan)	ʂam⁵⁵, ʂua³¹, ʂəŋ³¹, ʂua³¹, ʂua³¹
tʂh	tʂh	tʂʰ	i	U+0074 U+0282 U+0068	41	Achang (Longchuan)	tʂhă⁵⁵, tʂhua³¹, tʂhuaʔ⁵⁵, tʂhuaʔ⁵⁵, tʂham⁵¹
ʑ	ʑ	ʑ	i	U+0291	34	Achang (Longchuan)	ʑai⁵⁵, ʑɔ⁵⁵, ʑɔ⁵⁵, ʑi³¹, ʑa⁵⁵
ȵ̥	ȵ̥	ȵ̥	i	U+0235 U+0325	31	Achang (Longchuan)	ȵ̥on⁵⁵, ȵ̥on⁵⁵, ȵ̥ɔŋ⁵⁵, ȵ̥ot⁵³, ȵ̥ot⁵⁵
tsh	tsh	tsʰ	i	U+0074 U+0073 U+0068	29	Achang (Longchuan)	tshe³¹, tshin⁵⁵, tshen³¹, tshe⁵⁵, tshe⁵⁵
mʐ	m ʐ	m ʐ	i m	U+006d U+0290	27	Achang (Longchuan)	mʐua³¹, mʐuaŋ⁵⁵, mʐui⁵⁵, mʐaŋ³⁵, mʐuat⁵⁵
n̥	n̥	n̥	i	U+006e U+0325	27	Achang (Longchuan)	n̥ɔŋ³⁵, n̥ɔŋ³⁵, n̥o³¹, n̥ap⁵⁵, n̥ɔ³¹
pʐ	p ʐ	p ʐ	i m	U+0070 U+0290	26	Achang (Longchuan)	pʐaŋ⁵⁵, pʐəŋ⁵⁵, pʐəŋ⁵⁵, pʐaŋ⁵⁵, pʐaŋ⁵⁵
khʐ	kh ʐ	kʰ ʐ	i m	U+006b U+0068 U+0290	25	Achang (Longchuan)	khʐə⁵⁵, khʐua³¹, khʐɔŋ³¹, khʐau³⁵, khʐaŋ⁵⁵
ŋ	ŋ	ŋ	i	U+014b	24	Achang (Longchuan)	ŋui⁵⁵, ŋă³¹, ŋuŋ³⁵, ŋau⁵⁵, ŋɔŋ⁵⁵
l̥	l̥	l̥	i	U+006c U+0325	24	Achang (Longchuan)	l̥i⁵⁵, l̥i³¹, l̥uʔ³⁵, l̥i³¹, l̥ɔ³¹
m̥ʐ	m̥ ʐ	m̥ ʐ	i m	U+006d U+0325 U+0290	20	Achang (Longchuan)	m̥ʐaŋ³¹, m̥ʐaŋ³¹, m̥ʐaŋ³¹, m̥ʐaŋ³¹, m̥ʐaŋ³¹
ɕ	ɕ	ɕ	i	U+0255	19	Achang (Longchuan)	ɕek³⁵, ɕɔ⁵⁵, ɕɔ⁵⁵, ɕaŋ³¹, ɕe⁵¹
m̥	m̥	m̥	i	U+006d U+0325	15	Achang (Longchuan)	m̥ɔʔ⁵⁵, m̥ɔʔ⁵⁵, m̥ɔʔ⁵⁵, m̥ɔʔ⁵⁵, m̥ɔn³¹
ŋ̊	ŋ̊	ŋ̊	i	U+014b U+030a	15	Achang (Longchuan)	ŋ̊an⁵⁵, ŋ̊eŋ³⁵, ŋ̊eŋ³⁵, ŋ̊ən⁵⁵, ŋ̊ap⁵⁵
kh	kh	kʰ	i	U+006b U+0068	13	Achang (Longchuan)	khaŋ³¹, khən³¹, khan⁵⁵, khiŋ³¹, khəʔ³¹
phʐ	ph ʐ	pʰ ʐ	i m	U+0070 U+0068 U+0290	13	Achang (Longchuan)	phʐai⁵⁵, phʐo⁵⁵, phʐa³¹, phʐap⁵⁵, phʐut⁵⁵
xʐ	x ʐ	x ʐ	i m	U+0078 U+0290	11	Achang (Longchuan)	xʐoʔ⁵⁵, xʐoŋ³¹, xʐaŋ⁵⁵, xʐoʔ⁵⁵, xʐoʔ⁵⁵
v	v	v	i	U+0076	9	Achang (Longchuan)	vən⁵⁵, ve³¹, vaŋ⁵¹, ve³¹, vuat⁵⁵
m̥ʑ	m̥ ʑ	m̥ ʑ	i m	U+006d U+0325 U+0291	4	Achang (Longchuan)	m̥ʑaŋ³¹, m̥ʑaŋ³¹, m̥ʑaŋ³¹, m̥ʑaŋ³¹mau³¹
f	f	f	i	U+0066	3	Achang (Longchuan)	fei⁵¹, fuŋ³¹, fuʔ³¹
ʑ̩	ʑ̩	ʑ	m	U+0291 U+0329	1	Achang (Longchuan)	ʑ̩en³¹
tɕn	tɕn	tɕ n	i m	U+0074 U+0255 U+006e	1	Achang (Longchuan)	tɕnam³¹
ŋ̇	ŋ̇	ŋ̊	i	U+014b U+0307	1	Achang (Longchuan)	ŋ̇eŋ³⁵
tʂn	tʂn	tʂ n	i m	U+0074 U+0282 U+006e	1	Achang (Longchuan)	tʂnaŋ⁵¹
