Grapheme	Huang1992	Orthography	CLPA	Structure	TYPE	LANGUAGES	NOTE
b	b	b	p	i	i	Written_Burmese
d	d	d	t	i	i	Written_Burmese
h	h	h	h	i	i	Written_Burmese
hl	hl	lh	l̥	i	i	Written_Burmese
hm	hm	mh	m̥	i	i	Written_Burmese
hn	hn	nh	n̥	i	i	Written_Burmese
hȵ	hȵ	ñh	ȵ̥	i	i	Written_Burmese
ȵ	ȵ	ñ	ȵ	i	i
hw	hw	wh	w̥	i	i	Written_Burmese
r	r	r	r	i	i	Written_Burmese
sh	sh	ch	tɕʰ	i	i	Written_Burmese
tθ	tθ	s	s	i	i	Written_Burmese
it	i t		i t	n c	f	Written_Burmese
ok	o k	ui k	o k	n c	f	Written_Burmese
ɔk	ɔ k	ok	ɔ k	n c	f	Written_Burmese
ɔŋ	ɔ ŋ	o ŋ	ɔ ŋ	n c	f	Written_Burmese
an	a n	a n	a n	n c	f	Written_Burmese
in	i n	I n	i n	n c	f	Written_Burmese
um	u m	u m	u m	n c	f	Written_Burmese
ts	ts	ts	ts	i	i	Written_Burmese
un	u n	un	u n	n c	f	Written_Burmese
a	a	a	a	n	f	Written_Burmese
i	i	i	i	n	f	Written_Burmese
ɔ	ɔ	o	ɔ	n	f	Written_Burmese
u	u	u	u	n	f	Written_Burmese
pj	p j	p y	p j	i m	i	Written_Burmese
j	j	y	j	i	i	Written_Burmese
k	k	k	k	i	i	Written_Burmese
kh	kh	kh	kʰ	i	i	Written_Burmese
l	l	l	l	i	i	Written_Burmese
m	m	m	m	i	i	Written_Burmese
n	n	n	n	i	i	Written_Burmese
ŋ	ŋ	ṅ	ŋ	i	i	Written_Burmese
p	p	p	p	i	i	Written_Burmese
ph	ph	ph	pʰ	i	i	Written_Burmese
s	s	c	tɕ	i	i	Written_Burmese
t	t	t	t	i	i	Written_Burmese
th	th	th	tʰ	i	i	Written_Burmese
o	o	ui	ə	n	f	Written_Burmese
