Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
i̱m	i̱ m	ḭ m	n c	U+0069 U+0331 U+0020 U+006d	1	Atsi	tʃi̱m⁵¹
o̱n	o̱ n	o̰ n	n c	U+006f U+0331 U+0020 U+006e	1	Atsi	ʒo̱n⁵¹
o	o	o	n	U+006f	168	Atsi	mo⁵⁵
a	a	a	n	U+0061	128	Atsi	ʒa⁵¹
u	u	u	n	U+0075	92	Atsi	tu²¹
e	e	e	n	U+0065	83	Atsi	tʃe⁵⁵
au	a u	a u	n N	U+0061 U+0075	79	Atsi	pau⁵⁵
i	i	i	n	U+0069	64	Atsi	i⁵⁵
ă	ă	ă	n	U+0103	44	Atsi	lă²¹
ai	a i	a i	n N	U+0061 U+0069	43	Atsi	lai⁵⁵
ĕ	ĕ	ĕ	n	U+0115	36	Atsi	mĕ²¹
o̱	o̱	o̰	n	U+006f U+0331	32	Atsi	ko̱²¹
ŏ	ŏ	ŏ	n	U+014f	32	Atsi	tsŏ²¹
e̱	e̱	ḛ	n	U+0065 U+0331	17	Atsi	te̱⁵⁵
u̱	u̱	ṵ	n	U+0075 U+0331	14	Atsi	ku̱²¹
a̱	a̱	a̰	n	U+0061 U+0331	14	Atsi	ka̱⁵⁵
oi	o i	o i	n N	U+006f U+0069	13	Atsi	khoi⁵⁵
u̱i	u̱ i	ṵ i	n N	U+0075 U+0331 U+0069	12	Atsi	tu̱i²¹
a̱i	a̱ i	a̰ i	n N	U+0061 U+0331 U+0069	12	Atsi	la̱i⁵¹
a̱u	a̱ u	a̱ u	n N	U+0061 U+0331 U+0075	12	Atsi	ta̱u⁵⁵
ĭ	ĭ	ĭ	n	U+012d	10	Atsi	tʃhĭ⁵⁵
i̱	i̱	ḭ	n	U+0069 U+0331	9	Atsi	tʃi̱⁵⁵
o̱i	o̱ i	o̰ i	n N	U+006f U+0331 U+0069	8	Atsi	vo̱i⁵⁵
ə	ə	ə	n	U+0259	8	Atsi	mə⁵⁵
ə̆	ə̆	ə̆	n	U+0259 U+0306	6	Atsi	phə̆⁵⁵
ŏ̱	ŏ̱	ŏ̰	n	U+014f U+0331	6	Atsi	lŏ̱⁵⁵
ŭ	ŭ	ŭ	n	U+016d	6	Atsi	ŭ²¹
ə̱	ə̱	ə̰	n	U+0259 U+0331	2	Atsi	pə̱²¹
ɔ	ɔ	ɔ	n	U+0254	1	Atsi	tsɔ²¹
ŭ̱	ŭ̱	ṵ̆	n	U+016d U+0331	1	Atsi	tŭ̱⁵⁵
ǒ̆	ǒ̆	ŏ	n	U+01d2 U+0306	1	Atsi	pǒ̆²¹
yan	y a n	y a n	m n c	U+0079 U+0061 U+006e	1	Atsi	yan
jaŋ	j a ŋ	j a ŋ	m n c	U+006a U+0020 U+0061 U+0020 U+014b	38	Atsi	jaŋ²¹
joʔ	j o ʔ	j o ʔ	m n c	U+006a U+0020 U+006f U+0020 U+0294	21	Atsi	mjoʔ²¹
jiŋ	j i ŋ	j i ŋ	m n c	U+006a U+0020 U+0069 U+0020 U+014b	21	Atsi	mjiŋ⁵¹
jam	j a m	j a m	m n c	U+006a U+0020 U+0061 U+0020 U+006d	19	Atsi	kjam²¹
