# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
7954	Maru	agree / consent	1369	nuk³¹	240	i r t	n uk ³¹
9675	Bola	agree / consent	1369	ka̱m³⁵	239	i r t	ˀk am ³⁵
#
3370	Achang_Longchuan	agree on / arrange	1651	tʂu⁵⁵	246	i r t	tʂ u ⁵⁵
8232	Maru	agree on / arrange	1651	la̱uŋ³¹	250	i r t	ˀl auŋ ³¹
9960	Bola	agree on / arrange	1651	taŋ³¹	10857	i r t	t aŋ ³¹
#
1851	Achang_Longchuan	air; breath	20	sui⁵⁵	253	i r t	s ui ⁵⁵
6745	Maru	air; breath	20	soʔ⁵⁵	253	i r t	s oʔ ⁵⁵
8371	Bola	air; breath	20	saʔ⁵⁵	253	i r t	s aʔ ⁵⁵
12009	Old_Burmese	air; breath	20	rhu	253	i r t	r̥ u ²²
#
2217	Achang_Longchuan	alcoholic beverage	423	tsi⁵⁵	15499	i r t	ts i ⁵⁵
7105	Maru	alcoholic beverage	423	i̱k³¹	264	i r t	ʔ ik ³¹
8748	Bola	alcoholic beverage	423	i̱⁵⁵phai³⁵	264 265	i r t + i r t	ʔ i ⁵⁵ + ph ai ³⁵
#
3025	Achang_Longchuan	alive, become / active	1290	tut⁵⁵	274	i r t	t ut ⁵⁵
7886	Maru	alive, become / active	1290	tɔi³¹	275	i r t	t ɔi ³¹
9599	Bola	alive, become / active	1290	tui⁵⁵	275	i r t	t ui ⁵⁵
#
2636	Achang_Longchuan	all / everything	877	pʐa⁵⁵pʐa⁵⁵	285 286	i m r t + i m r t	pʐ ʐ ʐa ⁵⁵ + pʐ ʐ ʐa ⁵⁵
7511	Maru	all / everything	877	pəŋ³¹ʃɔʔ⁵⁵	89 304	i r t + i r t	p əŋ ³¹ + ʃ ɔʔ ⁵⁵
9191	Bola	all / everything	877	a³¹la̱p⁵⁵	289 290	i r t + i r t	ʔ a ³¹ + ˀl ap ⁵⁵
11610	Old_Burmese	all / everything	877	kun	293	i r t	k un ²²
#
2637	Achang_Longchuan	all / whole, the	878	pʐa⁵⁵ pʐa⁵⁵	301 302	i m r t + i m r t	pʐ ʐ ʐa ⁵⁵ + pʐ ʐ ʐa ⁵⁵
7512	Maru	all / whole, the	878	pəŋ³¹ʃɔʔ⁵⁵	303 304	i r t + i r t	p əŋ ³¹ + ʃ ɔʔ ⁵⁵
9192	Bola	all / whole, the	878	pɛ̃⁵⁵ʃaʔ⁵⁵	303 304	i r t + i r t	p ɛ̃∼ ⁵⁵ + ʃ aʔ ⁵⁵
#
7646	Maru	alone	1025	tă³¹jauk³¹	15341 317	i r t + i m r t	t ă ³¹ + ʔj j jauk ³¹
9340	Bola	alone	1025	jɔ̃³¹	317	i m r t	ʔj j jɔ̃∼ ³¹
#
2814	Achang_Longchuan	alter	1060	pen³⁵	326	i r t	p en ³⁵
9375	Bola	alter	1060	tøʔ³¹nɔ̱̃⁵⁵	329 330	i r t + i r t	t øʔ ³¹ + ˀn ɔ̃∼ ⁵⁵
#
6777	Maru	aluminum	56	tsha³¹	338	i r t	tsh a ³¹
8404	Bola	aluminum	56	saŋ⁵⁵phɔ⁵⁵	336 337	i r t + i r t	s aŋ ⁵⁵ + ph ɔ ⁵⁵
#
2027	Achang_Longchuan	ancestors / forebears	213	len³⁵	342	i r t	l en ³⁵
6913	Maru	ancestors / forebears	213	phuk⁵⁵phjik⁵⁵	348 345	i r t + i m r t	ph uk ⁵⁵ + phj j jik ⁵⁵
8550	Bola	ancestors / forebears	213	phau³⁵phi³¹	345 346	i r t + i r t	ph au ³⁵ + ph i ³¹
#
2498	Achang_Longchuan	ancient times, in	735	ku³¹lai⁵⁵	357 358	i r t + i r t	k u ³¹ + l ai ⁵⁵
7374	Maru	ancient times, in	735	a³¹pja̱t³¹	5331 362	i r t + i m r t	ʔ a ³¹ + ˀpj j jat ³¹
9048	Bola	ancient times, in	735	kə̆³¹la̱ŋ⁵⁵	357 358	i r t + i r t	k ə̆ ³¹ + ˀl aŋ ⁵⁵
#
3229	Achang_Longchuan	angry, be / take offense	1506	tsit⁵⁵	378	i r t	ts it ⁵⁵
8088	Maru	angry, be / take offense	1506	na̱k⁵⁵ jo³¹	7931 8774	i r t + i m r t	ˀn ak ⁵⁵ + ʔj j jo ³¹
9814	Bola	angry, be / take offense	1506	na̱k⁵⁵tʃam³¹ja³¹	7931 381 8774	i r t + i r t + i m r t	ˀn ak ⁵⁵ + tʃ am ³¹ + ʔj j ja ³¹
11862	Old_Burmese	angry, be / take offense	1506	myak	382	i m r t	mj j jak ⁴
#
10077	Bola	animal / beast (note:+carnivore)	1769	sɛ̃⁵⁵ja³¹tsai⁵⁵	395 396 397	i r t + i m r t + i r t	s ɛ̃∼ ⁵⁵ + ʔj j ja ³¹ + ts ai ⁵⁵
#
9032	Bola	animals (twelve) representing the twelve years	1856	tɛ̃⁵⁵vɛʔ⁵⁵lun³¹	9354 408 409	i r t + i r t + i r t	t ɛ̃∼ ⁵⁵ + v ɛʔ ⁵⁵ + l un ³¹
#
1927	Achang_Longchuan	ankle	103	tɕhi⁵⁵tɔʔ⁵⁵	2224 414	i r t + i r t	tɕʰ i ⁵⁵ + t ɔʔ ⁵⁵
6820	Maru	ankle	103	khjik³¹tʃhɛʔ⁵⁵	2224 414	i m r t + i r t	khj j jik ³¹ + tʃh ɛʔ ⁵⁵
8450	Bola	ankle	103	khji⁵⁵tʃhɛʔ⁵⁵	2224 414	i r t + i r t	khj i ⁵⁵ + tʃh ɛʔ ⁵⁵
#
3021	Achang_Longchuan	answer / reply	1283	thu³¹	428	i r t	tʰ u ³¹
7880	Maru	answer / reply	1283	ta̱u³⁵	428	i r t	ˀt au ³⁵
9592	Bola	answer / reply	1283	tu̱³⁵	428	i r t	ˀt u ³⁵
#
2148	Achang_Longchuan	ant	344	tɕhi⁵⁵man⁵⁵	435 13339	i r t + i r t	tɕʰ i ⁵⁵ + m an ⁵⁵
7033	Maru	ant	344	phə̆³¹ɣuk³¹	437 10617	i r t + i r t	ph ə̆ ³¹ + ɣ uk ³¹
8670	Bola	ant	344	phə̆³¹ɣɔʔ³¹	437 10617	i r t + i r t	ph ə̆ ³¹ + ɣ ɔʔ ³¹
#
1937	Achang_Longchuan	anus	113	tɕhi³¹tuŋ³¹tuŋ³¹	451 452 453	i r t + i r t + i r t	tɕʰ i ³¹ + t uŋ ³¹ + t uŋ ³¹
6829	Maru	anus	113	tʃhauk⁵⁵puŋ⁵⁵	451 454	i r t + i r t	tʃh auk ⁵⁵ + p uŋ ⁵⁵
8460	Bola	anus	113	tʃhauʔ⁵⁵	451	i r t	tʃh auʔ ⁵⁵
#
2965	Achang_Longchuan	apply (ointment)	1223	phɔk⁵⁵	16995	i r t	pʰ ɔk ⁵⁵
7822	Maru	apply (ointment)	1223	xap⁵⁵	468	i r t	x ap ⁵⁵
9529	Bola	apply (ointment)	1223	thap⁵⁵	468	i r t	th ap ⁵⁵
#
3476	Achang_Longchuan	arm	1761	lɔʔ⁵⁵san⁵⁵	6143 476	i r t + i r t	l ɔʔ ⁵⁵ + s an ⁵⁵
8344	Maru	arm	1761	lɔʔ³¹pau³⁵	6143 477	i r t + i r t	l ɔʔ ³¹ + p au ³⁵
10071	Bola	arm	1761	laʔ³¹pu³⁵	6143 477	i r t + i r t	l aʔ ³¹ + p u ³⁵
12037	Old_Burmese	arm	1761	aʔ◦mo₂ṅḥ	478 7254	i r t + i r t	ʔ a ⁵³ + m ʊŋ ⁵⁵
#
1915	Achang_Longchuan	armpit	91	kă³¹liŋ³⁵tʂhuaʔ⁵⁵	19 493 494	i r t + i r t + i r t	k ă ³¹ + l iŋ ³⁵ + tʂʰ uaʔ ⁵⁵
6808	Maru	armpit	91	lɔʔ³¹tʃhɛʔ⁵⁵	497 494	i r t + i r t	l ɔʔ ³¹ + tʃh ɛʔ ⁵⁵
8438	Bola	armpit	91	laʔ³¹tʃhɛʔ⁵⁵	497 494	i r t + i r t	l aʔ ³¹ + tʃh ɛʔ ⁵⁵
11819	Old_Burmese	armpit	91	khyuiṅḥ	498	i m r t	khj j jəŋ ⁵⁵
#
2908	Achang_Longchuan	arrive	1162	te³⁵	510	i r t	t e ³⁵
7767	Maru	arrive	1162	tʃø³⁵	510	i r t	tʃ ø ³⁵
9473	Bola	arrive	1162	tʃø³⁵	510	i r t	tʃ ø ³⁵
#
9323	Bola	arrogant / conceited	1008	ŋɔ̱̃³⁵	520	i r t	ˀŋ ɔ̃∼ ³⁵
#
2380	Achang_Longchuan	arrow	596	m̥ʐua³¹	525	i m r t	m̥ʐ ʐ ʐua ³¹
7256	Maru	arrow	596	la³⁵mjɔk³¹	7956 525	i r t + i m r t	l a ³⁵ + mj j jɔk ³¹
