# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
7671	Maru	close (the mouth)	1056	mji̱k⁵⁵	3250	i m r t	ˀmj j jik ⁵⁵
9371	Bola	close (the mouth)	1056	mi̱³⁵	3250	i r t	ˀm i ³⁵
#
9717	Bola	close (the mouth) lightly	1411	ʃam³⁵ŋam⁵⁵	3257 3258	i r t + i r t	ʃ am ³⁵ + ŋ am ⁵⁵
#
2226	Achang_Longchuan	cloth	433	ti³¹tʂaŋ³¹	3263 3264	i r t + i r t	t i ³¹ + tʂ aŋ ³¹
7113	Maru	cloth	433	pə̱ŋ³⁵	3264	i r t	ˀp əŋ ³⁵
8757	Bola	cloth	433	pɛ̱̃³⁵	3264	i r t	ˀp ɛ̃∼ ³⁵
#
2236	Achang_Longchuan	cloth (colorful, worn on the head)	444	phaʔ³¹tʂuaŋ³⁵	3273 3274	i r t + i r t	pʰ aʔ ³¹ + tʂ uaŋ ³⁵
7121	Maru	cloth (colorful, worn on the head)	444	a̱u³⁵thap⁵⁵	825 3276	i r t + i r t	ʔ au ³⁵ + th ap ⁵⁵
8768	Bola	cloth (colorful, worn on the head)	444	ŭ³⁵thap³⁵	825 3276	i r t + i r t	ʔ ŭ ³⁵ + th ap ³⁵
#
8761	Bola	cloth (woollen)	437	niʔ³¹tsɿ⁵¹	3288 3289	i r t + i r t	n iʔ ³¹ + ts ɿ ⁵¹
#
2230	Achang_Longchuan	clothing / garment	438	tse³¹	12004	i r t	ts e ³¹
8762	Bola	clothing / garment	438	pu³¹	3295	i r t	p u ³¹
11875	Old_Burmese	clothing / garment	438	aʔ◦wat	3296 3297	i r t + i r t	ʔ a ⁵³ + w at ⁴
#
1838	Achang_Longchuan	cloud	7	xan³¹tɕin³¹	6518 3305	i r t + i r t	x an ³¹ + tɕ in ³¹
6734	Maru	cloud	7	tʃa̱m³¹thɔi³⁵	3305 3308	i r t + i r t	ˀtʃ am ³¹ + th ɔi ³⁵
8358	Bola	cloud	7	tʃa̱m⁵⁵	3305	i r t	ˀtʃ am ⁵⁵
11628	Old_Burmese	cloud	7	tim	3305	i r t	t im ²²
#
3277	Achang_Longchuan	cloudy, be (sky) / overcast	1552	mau³¹tʂau³⁵	3318 3319	i r t + i r t	m au ³¹ + tʂ au ³⁵
8136	Maru	cloudy, be (sky) / overcast	1552	muk⁵⁵tap³¹	3318 3320	i r t + i r t	m uk ⁵⁵ + t ap ³¹
9862	Bola	cloudy, be (sky) / overcast	1552	mau³¹tap⁵⁵	3318 3320	i r t + i r t	m au ³¹ + t ap ⁵⁵
11848	Old_Burmese	cloudy, be (sky) / overcast	1552	muiwḥ◦umʔ	3318 3321	i r t + i r t	m əw ⁵⁵ + ʔ um ⁵³
#
2774	Achang_Longchuan	clumsy / awkward	1015	puaŋ³¹	3335	i r t	p uaŋ ³¹
7640	Maru	clumsy / awkward	1015	kɔ³¹	1405	i r t	k ɔ ³¹
9331	Bola	clumsy / awkward	1015	pɛ̃³¹	3335	i r t	p ɛ̃∼ ³¹
#
1884	Achang_Longchuan	coal	57	mei³¹	3341	i r t	m ei ³¹
6778	Maru	coal	57	mɛʔ³¹	3341	i r t	m ɛʔ ³¹
8405	Bola	coal	57	mɛʔ³¹	3341	i r t	m ɛʔ ³¹
#
3011	Achang_Longchuan	coax / fool	1270	xup⁵⁵	3352	i r t	x up ⁵⁵
7867	Maru	coax / fool	1270	tʃu⁵⁵	3354	i r t	tʃ u ⁵⁵
9578	Bola	coax / fool	1270	tʃu̱³⁵	3354	i r t	ˀtʃ u ³⁵
#
2091	Achang_Longchuan	cock	279	kʐuaʔ⁵⁵lɔ³¹	3360 3361	i m r t + i r t	kʐ ʐ ʐuaʔ ⁵⁵ + l ɔ ³¹
6980	Maru	cock	279	ɣɔʔ³¹phɔ⁵⁵	3360 3362	i r t + i r t	ɣ ɔʔ ³¹ + ph ɔ ⁵⁵
8613	Bola	cock	279	ɣaʔ³¹pha³⁵	3360 3362	i r t + i r t	ɣ aʔ ³¹ + ph a ³⁵
#
2094	Achang_Longchuan	cockscomb	282	ȵɔʔ⁵⁵pat³⁵	3375 6069	i r t + i r t	ȵ ɔʔ ⁵⁵ + p at ³⁵
6983	Maru	cockscomb	282	tʃoʔ³¹pjɛn³⁵	3377 3379	i r t + i m r t	tʃ oʔ ³¹ + pj j jɛn ³⁵
8616	Bola	cockscomb	282	ɣaʔ³¹tʃaʔ³¹pjɛn³¹	3380 3377 3379	i r t + i r t + i m r t	ɣ aʔ ³¹ + tʃ aʔ ³¹ + pj j jɛn ³¹
#
11629	Old_Burmese	cold (water)	1875	iyḥ	3392	i r t	ʔ əj ⁵⁵
#
2729	Achang_Longchuan	cold (weather, water)	1833	kʐuat⁵⁵	3398	i m r t	kʐ ʐ ʐuat ⁵⁵
7599	Maru	cold (weather, water)	1833	kjɔʔ³¹	3398	i m r t	kj j jɔʔ ³¹
9283	Bola	cold (weather, water)	1833	kjaʔ³¹	3398	i m r t	kj j jaʔ ³¹
#
3265	Achang_Longchuan	collapse / cave in / fall down	1540	ȵɔp⁵⁵	14897	i r t	ȵ ɔp ⁵⁵
8124	Maru	collapse / cave in / fall down	1540	kjøʔ³¹	3406	i m r t	kj j jøʔ ³¹
9850	Bola	collapse / cave in / fall down	1540	kjøʔ³¹	3406	i m r t	kj j jøʔ ³¹
11941	Old_Burmese	collapse / cave in / fall down	1540	phruiw	3406	i m r t	phr r rəw ²²
#
2231	Achang_Longchuan	collar	439	tse³¹xɔ³¹sə³¹	3414 6665 3416	i r t + i r t + i r t	ts e ³¹ + x ɔ ³¹ + s ə ³¹
7116	Maru	collar	439	pau³⁵laŋ³¹	3417 3418	i r t + i r t	p au ³⁵ + l aŋ ³¹
8763	Bola	collar	439	pŭ³¹laŋ⁵⁵taŋ³¹	3417 3418 3414	i r t + i r t + i r t	p ŭ ³¹ + l aŋ ⁵⁵ + t aŋ ³¹
#
3161	Achang_Longchuan	collide / run into	1438	thəŋ³⁵	3432	i r t	tʰ əŋ ³⁵
8019	Maru	collide / run into	1438	thauŋ³⁵	3432	i r t	th auŋ ³⁵
9744	Bola	collide / run into	1438	thauŋ³⁵	3432	i r t	th auŋ ³⁵
#
11863	Old_Burmese	color	657	aʔ◦ro₂ṅ	11457 16439	i r t + i r t	ʔ a ⁵³ + r ʊŋ ²²
#
2243	Achang_Longchuan	comb	452	phʐa³¹	3450	i m r t	pʰʐ ʐ ʐa ³¹
3242	Achang_Longchuan	comb	452	phʐa³¹	3450	i m r t	pʰʐ ʐ ʐa ³¹
7128	Maru	comb	452	pjɛ̱³⁵	3450	i m r t	ˀpj j jɛ ³⁵
8101	Maru	comb	452	kjɔ̱ʔ⁵⁵	3452	i m r t	ˀkj j jɔʔ ⁵⁵
8774	Bola	comb	452	pjɛ̱³⁵	3450	i m r t	ˀpj j jɛ ³⁵
9827	Bola	comb	452	kja̱ʔ⁵⁵	3452	i m r t	ˀkj j jaʔ ⁵⁵
#
3105	Achang_Longchuan	come	1380	ʐə³⁵	3465	i r t	ʐ ə ³⁵
7963	Maru	come	1380	lɔ³¹	3466	i r t	l ɔ ³¹
9686	Bola	come	1380	la⁵⁵	3466	i r t	l a ⁵⁵
11630	Old_Burmese	come	1380	la	3466	i r t	l a ²²
#
3209	Achang_Longchuan	come loose (shoelace)	1487	pək⁵⁵	3474	i r t	p ək ⁵⁵
8067	Maru	come loose (shoelace)	1487	pak³¹	3474	i r t	p ak ³¹
9792	Bola	come loose (shoelace)	1487	pəi⁵⁵	3474	i r t	p əi ⁵⁵
#
2857	Achang_Longchuan	come out	1109	thoʔ⁵⁵ʐə³⁵	3482 3483	i r t + i r t	tʰ oʔ ⁵⁵ + ʐ ə ³⁵
7718	Maru	come out	1109	thuk⁵⁵lɔ³¹	3482 3484	i r t + i r t	th uk ⁵⁵ + l ɔ ³¹
9423	Bola	come out	1109	thɔʔ⁵⁵	3482	i r t	th ɔʔ ⁵⁵
#
2856	Achang_Longchuan	come out (the sun)	1108	thoʔ⁵⁵ʐə³⁵	3482 3496	i r t + i r t	tʰ oʔ ⁵⁵ + ʐ ə ³⁵
7717	Maru	come out (the sun)	1108	thuk⁵⁵	3482	i r t	th uk ⁵⁵
9422	Bola	come out (the sun)	1108	thɔʔ⁵⁵	3482	i r t	th ɔʔ ⁵⁵
#
2843	Achang_Longchuan	commend / praise	1090	u⁵⁵	3507	i r t	ʔ u ⁵⁵
9404	Bola	commend / praise	1090	ʃə̆³¹ɔn³¹	3510 3509	i r t + i r t	ʃ ə̆ ³¹ + ʔ ɔn ³¹
#
1994	Achang_Longchuan	common people	175	pəʔ³¹sin³⁵	3515 3516	i r t + i r t	p əʔ ³¹ + s in ³⁵
6881	Maru	common people	175	maŋ³¹pju³¹	3517 3518	i r t + i m r t	m aŋ ³¹ + pj j ju ³¹
8515	Bola	common people	175	maŋ³¹pju⁵⁵	3517 3518	i r t + i m r t	m aŋ ³¹ + pj j ju ⁵⁵
#
2809	Achang_Longchuan	compare	1055	tiak³⁵	3529	i m r t	ti i iak ³⁵
7670	Maru	compare	1055	thɔʔ⁵⁵	14519	i r t	th ɔʔ ⁵⁵
9370	Bola	compare	1055	thaʔ⁵⁵	14519	i r t	th aʔ ⁵⁵
#
3158	Achang_Longchuan	compensate	1434	tɕhap⁵⁵	3537	i r t	tɕʰ ap ⁵⁵
8015	Maru	compensate	1434	tshɛʔ⁵⁵	3537	i r t	tsh ɛʔ ⁵⁵
9740	Bola	compensate	1434	tʃai³⁵	3537	i r t	tʃ ai ³⁵
11995	Old_Burmese	compensate	1434	lyo₂	3538	i r t	lj ʊ ²²
#
2977	Achang_Longchuan	complain about s.b. to his sup	1236	kʐau³⁵	3547	i m r t	kʐ ʐ ʐau ³⁵
9542	Bola	complain about s.b. to his sup	1236	lu⁵⁵ʃɔt⁵⁵	3549 3550	i r t + i r t	l u ⁵⁵ + ʃ ɔt ⁵⁵
#
3193	Achang_Longchuan	complete, be	1471	ku⁵⁵	3555	i r t	k u ⁵⁵
8052	Maru	complete, be	1471	tʃap³¹	3557	i r t	tʃ ap ³¹
9776	Bola	complete, be	1471	tʃap³¹	3557	i r t	tʃ ap ³¹
#
7245	Maru	conduit (open, for water)	585	ɣək³¹xɔŋ³¹	3565 3567	i r t + i r t	ɣ ək ³¹ + x ɔŋ ³¹
8905	Bola	conduit (open, for water)	585	ɣəi⁵⁵tsɛ̃⁵⁵	3565 3563	i r t + i r t	ɣ əi ⁵⁵ + ts ɛ̃∼ ⁵⁵
#
9533	Bola	conform (cause to) / satisfy	1227	la̱ʔ⁵⁵tʃɔ³¹	1175 13561	i r t + i r t	ˀl aʔ ⁵⁵ + tʃ ɔ ³¹
#
3110	Achang_Longchuan	connect / join	1385	kap³⁵	3587	i r t	k ap ³⁵
7968	Maru	connect / join	1385	tshɔʔ⁵⁵	3588	i r t	tsh ɔʔ ⁵⁵
9691	Bola	connect / join	1385	tshaʔ³¹	3588	i r t	tsh aʔ ³¹
#
3218	Achang_Longchuan	consult / discuss	1495	pɔŋ⁵⁵	3595	i r t	p ɔŋ ⁵⁵
8076	Maru	consult / discuss	1495	phjɛ⁵⁵	3596	i m r t	phj j jɛ ⁵⁵
9801	Bola	consult / discuss	1495	phjɛ³⁵	3596	i m r t	phj j jɛ ³⁵
#
2324	Achang_Longchuan	container (measuring, 1-liter-volume)	536	tʂhəŋ³¹	3604	i r t	tʂʰ əŋ ³¹
7205	Maru	container (measuring, 1-liter-volume)	536	ʃiŋ³¹	3604	i r t	ʃ iŋ ³¹
8857	Bola	container (measuring, 1-liter-volume)	536	ʃɔn³¹	3604	i r t	ʃ ɔn ³¹
#
2323	Achang_Longchuan	container for measuring grain (=1 decaliter)	535	kɔŋ³¹	3611	i r t	k ɔŋ ³¹
7204	Maru	container for measuring grain (=1 decaliter)	535	tu³¹	18097	i r t	t u ³¹
8856	Bola	container for measuring grain (=1 decaliter)	535	puŋ³¹	3613	i r t	p uŋ ³¹
#
3402	Achang_Longchuan	cook / boil	1684	ʐau⁵⁵	3619	i r t	ʐ au ⁵⁵
8266	Maru	cook / boil	1684	tʃɔ̱ʔ⁵⁵	3620	i r t	ˀtʃ ɔʔ ⁵⁵
9994	Bola	cook / boil	1684	tʃaʔ⁵⁵	3620	i r t	tʃ aʔ ⁵⁵
#
3245	Achang_Longchuan	cooked, be (rice) / done	1521	tʂuaʔ⁵⁵	3627	i r t	tʂ uaʔ ⁵⁵
8104	Maru	cooked, be (rice) / done	1521	ŋjɔʔ³¹	3627	i m r t	ŋj j jɔʔ ³¹
9830	Bola	cooked, be (rice) / done	1521	ŋjaʔ³¹	3627	i m r t	ŋj j jaʔ ³¹
#
2732	Achang_Longchuan	cool, pleasantly	970	liaŋ³⁵	3635	i m r t	li i iaŋ ³⁵
7602	Maru	cool, pleasantly	970	ŋəŋ⁵⁵	3636	i r t	ŋ əŋ ⁵⁵
9286	Bola	cool, pleasantly	970	tʃhɛ̃³⁵	3637	i r t	tʃh ɛ̃∼ ³⁵
#
3480	Achang_Longchuan	copper (note:+red)	1774	tɔŋ⁵⁵	3643	i r t	t ɔŋ ⁵⁵
8348	Maru	copper (note:+red)	1774	kjik⁵⁵	3644	i m r t	kj j jik ⁵⁵
10078	Bola	copper (note:+red)	1774	kji³¹	3644	i m r t	kj j ji ³¹
#
2442	Achang_Longchuan	corner / angle	670	a³¹tʂɔk⁵⁵	5331 3651	i r t + i r t	ʔ a ³¹ + tʂ ɔk ⁵⁵
7313	Maru	corner / angle	670	khjuk³¹	3653	i m r t	khj j juk ³¹
8982	Bola	corner / angle	670	a³¹tʃɔ̱n⁵⁵	5331 3652	i r t + i r t	ʔ a ³¹ + ˀtʃ ɔn ⁵⁵
#
1980	Achang_Longchuan	corpse	160	ʂɿ⁵⁵mʐuaŋ⁵⁵	3662 3663	i r t + i m r t	ʂ ɿ ⁵⁵ + mʐ ʐ ʐuaŋ ⁵⁵
6866	Maru	corpse	160	mɔ̃³¹	3663	i r t	m ɔ̃∼ ³¹
8500	Bola	corpse	160	mɔ̃⁵⁵	3663	i r t	m ɔ̃∼ ⁵⁵
11958	Old_Burmese	corpse	160	aʔ◦lo₂ṅḥ	14991 3663	i r t + i r t	ʔ a ⁵³ + l ʊŋ ⁵⁵
#
2188	Achang_Longchuan	cotton	391	tu³¹u⁵⁵	3675 3676	i r t + i r t	t u ³¹ + ʔ u ⁵⁵
7075	Maru	cotton	391	tə̆³¹a̱u³¹	3675 3676	i r t + i r t	t ə̆ ³¹ + ʔ au ³¹
8717	Bola	cotton	391	tə̆³¹u⁵⁵	3675 3676	i r t + i r t	t ə̆ ³¹ + ʔ u ⁵⁵
#
3093	Achang_Longchuan	cough	1366	khʐɔŋ³¹tʂhau³¹	3691 3692	i m r t + i r t	kʰʐ ʐ ʐɔŋ ³¹ + tʂʰ au ³¹
7951	Maru	cough	1366	khjauŋ³⁵tsu̱k⁵⁵	3691 3692	i m r t + i r t	khj j jauŋ ³⁵ + ˀts uk ⁵⁵
9672	Bola	cough	1366	khjauŋ³⁵ta̱u³¹ta̱u³¹	3691 3692 3693	i r t + i r t + i r t	khj auŋ ³⁵ + ˀt au ³¹ + ˀt au ³¹
11908	Old_Burmese	cough	1366	khyo₂ṅḥ◦chuiwḥ	3691 3692	i m r t + i r t	khj j jʊŋ ⁵⁵ + tɕh əw ⁵⁵
#
3248	Achang_Longchuan	count (numbers)	1524	an³⁵	2216	i r t	ʔ an ³⁵
8107	Maru	count (numbers)	1524	ŋɛ̱ʔ⁵⁵	13122	i r t	ˀŋ ɛʔ ⁵⁵
9833	Bola	count (numbers)	1524	ŋɛ̱ʔ⁵⁵	13122	i r t	ˀŋ ɛʔ ⁵⁵
11631	Old_Burmese	count (numbers)	1524	riy	3711	i r t	r əj ²²
#
3315	Achang_Longchuan	cover (the mouth)	1591	ət³⁵	3718	i r t	ʔ ət ³⁵
8175	Maru	cover (the mouth)	1591	tshuk⁵⁵	3719	i r t	tsh uk ⁵⁵
9902	Bola	cover (the mouth)	1591	ŋø̱ʔ⁵⁵	3718	i r t	ˀŋ øʔ ⁵⁵
11915	Old_Burmese	cover (the mouth)	1591	up	3718	i r t	ʔ up ⁴
#
3392	Achang_Longchuan	cover / hide from view	1675	phum³¹	3727	i r t	pʰ um ³¹
8256	Maru	cover / hide from view	1675	kɔ³¹	3729	i r t	k ɔ ³¹
9984	Bola	cover / hide from view	1675	ka⁵⁵	3729	i r t	k a ⁵⁵
#
3133	Achang_Longchuan	cover up (objects)	1408	kuaŋ³¹	3735	i r t	k uaŋ ³¹
7991	Maru	cover up (objects)	1408	tsaŋ⁵⁵	3735	i r t	ts aŋ ⁵⁵
9714	Bola	cover up (objects)	1408	ŋø̱ʔ⁵⁵	3718	i r t	ˀŋ øʔ ⁵⁵
#
3422	Achang_Longchuan	cow	1706	n̥o³¹tseŋ³⁵	3743 15457	i r t + i r t	n̥ o ³¹ + ts eŋ ³⁵
8289	Maru	cow	1706	nŭŋ³⁵tsaŋ³¹	3743 15457	i r t + i r t	n ŭŋ ³⁵ + ts aŋ ³¹
10016	Bola	cow	1706	nɔ̆³¹taŋ⁵⁵	3743 15457	i r t + i r t	n ɔ̆ ³¹ + t aŋ ⁵⁵
12038	Old_Burmese	cow	1706	no₁ḥ◦maʔ	3743 3745	i r t + i r t	n o ⁵⁵ + m a ⁵³
#
2423	Achang_Longchuan	crack / rift / fissure	649	tiak³¹	3760	i m r t	ti i iak ³¹
7298	Maru	crack / rift / fissure	649	kɔʔ³¹khu³¹	15609 3764	i r t + i r t	k ɔʔ ³¹ + kh u ³¹
8964	Bola	crack / rift / fissure	649	kaʔ³¹puŋ³⁵	15609 3763	i r t + i r t	k aʔ ³¹ + p uŋ ³⁵
#
2650	Achang_Longchuan	cramped / narrow	892	n̥ap⁵⁵	3771	i r t	n̥ ap ⁵⁵
7526	Maru	cramped / narrow	892	tʃɛ̱ʔ⁵⁵	3771	i r t	ˀtʃ ɛʔ ⁵⁵
9206	Bola	cramped / narrow	892	tʃɛ̱ʔ⁵⁵	3771	i r t	ˀtʃ ɛʔ ⁵⁵
#
3149	Achang_Longchuan	crawl (of insects)	1425	so³¹	18353	i r t	s o ³¹
8007	Maru	crawl (of insects)	1425	tu³⁵	3793	i r t	t u ³⁵
9731	Bola	crawl (of insects)	1425	tɔ³¹	3793	i r t	t ɔ ³¹
#
3148	Achang_Longchuan	crawl (of people)	1424	to³¹	3793	i r t	t o ³¹
8006	Maru	crawl (of people)	1424	tu³⁵	3793	i r t	t u ³⁵
9730	Bola	crawl (of people)	1424	tɔ³¹	3793	i r t	t ɔ ³¹
12097	Old_Burmese	crawl (of people)	1424	to₁ḥ	3793	i r t	t o ⁵⁵
#
2963	Achang_Longchuan	crazy, become	1221	vən⁵⁵	3803	i r t	v ən ⁵⁵
7820	Maru	crazy, become	1221	na³⁵	3804	i r t	n a ³⁵
9527	Bola	crazy, become	1221	na³¹	3804	i r t	n a ³¹
#
3470	Achang_Longchuan	crisp / brittle	1755	sɔp⁵⁵	3811	i r t	s ɔp ⁵⁵
8338	Maru	crisp / brittle	1755	khjɔp³¹	3811	i m r t	khj j jɔp ³¹
10065	Bola	crisp / brittle	1755	sɔ̃³⁵	18696	i r t	s ɔ̃∼ ³⁵
#
7062	Maru	crops	376	xə̆⁵⁵vɔ³¹	3820 3823	i r t + i r t	x ə̆ ⁵⁵ + v ɔ ³¹
8701	Bola	crops	376	xə̆³¹vɔ⁵¹	3820 3821	i r t + i r t	x ə̆ ³¹ + v ɔ ⁵¹
#
3001	Achang_Longchuan	cross (a bridge)	1259	kʐo³¹	3840	i m r t	kʐ ʐ ʐo ³¹
7857	Maru	cross (a bridge)	1259	kau³⁵	3840	i r t	k au ³⁵
9566	Bola	cross (a bridge)	1259	lai³¹	3832	i r t	l ai ³¹
#
2935	Achang_Longchuan	cross (a river)	1188	kʐo³¹	3840	i m r t	kʐ ʐ ʐo ³¹
7792	Maru	cross (a river)	1188	kau³⁵	3840	i r t	k au ³⁵
9499	Bola	cross (a river)	1188	ku³¹	3840	i r t	k u ³¹
11884	Old_Burmese	cross (a river)	1188	kuḥ	3840	i r t	k u ⁵⁵
#
3371	Achang_Longchuan	cross / pass	1652	tʂam⁵⁵	3849	i r t	tʂ am ⁵⁵
8233	Maru	cross / pass	1652	løʔ³¹	3850	i r t	l øʔ ³¹
9961	Bola	cross / pass	1652	xəi³⁵lai³¹	3851 3850	i r t + i r t	x əi ³⁵ + l ai ³¹
#
2126	Achang_Longchuan	crow	321	kă³¹lam³¹	3857 3858	i r t + i r t	k ă ³¹ + l am ³¹
7012	Maru	crow	321	kəʔ³¹nɔʔ³¹	3857 3860	i r t + i r t	k əʔ ³¹ + n ɔʔ ³¹
8649	Bola	crow	321	kə̆³¹naʔ³¹	3857 3860	i r t + i r t	k ə̆ ³¹ + n aʔ ³¹
11948	Old_Burmese	crow	321	taṅ◦kliḥ	3862 3857	i r t + i m r t	t aŋ ²² + kl l li ⁵⁵
#
3049	Achang_Longchuan	crow (of cocks)	1319	thun⁵⁵	3873	i r t	tʰ un ⁵⁵
7907	Maru	crow (of cocks)	1319	tu̱m³¹	3873	i r t	ˀt um ³¹
9626	Bola	crow (of cocks)	1319	tɔ̱n⁵⁵	3873	i r t	ˀt ɔn ⁵⁵
#
3050	Achang_Longchuan	crow (of hens)	1320	tək³¹	3881	i r t	t ək ³¹
7908	Maru	crow (of hens)	1320	mjaŋ³¹	3884	i m r t	mj j jaŋ ³¹
9627	Bola	crow (of hens)	1320	khɔ³⁵	3882	i r t	kh ɔ ³⁵
#
3262	Achang_Longchuan	crush to pieces	1538	tek³¹ ȵ̥uai⁵⁵	3896 3897	i r t + i r t	t ek ³¹ + ȵ̥ uai ⁵⁵
8121	Maru	crush to pieces	1538	tʃhɛʔ⁵⁵	3898	i r t	tʃh ɛʔ ⁵⁵
9847	Bola	crush to pieces	1538	la̱ʔ⁵⁵tʃɛʔ³¹	3899 3898	i r t + i r t	ˀl aʔ ⁵⁵ + tʃ ɛʔ ³¹
#
3100	Achang_Longchuan	cry	1374	ŋau⁵⁵	3906	i r t	ŋ au ⁵⁵
7958	Maru	cry	1374	ŋuk³¹	3906	i r t	ŋ uk ³¹
9680	Bola	cry	1374	ŋau⁵⁵	3906	i r t	ŋ au ⁵⁵
11800	Old_Burmese	cry	1374	ṅuiw	3906	i r t	ŋ əw ²²
#
3134	Achang_Longchuan	cry / chirp (of birds)	1409	mʐəŋ⁵⁵	3915	i m r t	mʐ ʐ ʐəŋ ⁵⁵
7992	Maru	cry / chirp (of birds)	1409	mjaŋ³¹	3915	i m r t	mj j jaŋ ³¹
9715	Bola	cry / chirp (of birds)	1409	mjaŋ⁵⁵	3915	i m r t	mj j jaŋ ⁵⁵
#
2581	Achang_Longchuan	cubit	822	suak³⁵	3924	i r t	s uak ³⁵
7457	Maru	cubit	822	tauŋ⁵⁵	3925	i r t	t auŋ ⁵⁵
9137	Bola	cubit	822	tauŋ³⁵	3925	i r t	t auŋ ³⁵
#
2130	Achang_Longchuan	cuckoo	325	kut⁵⁵tun⁵⁵m̥ɔʔ⁵⁵	3932 3933 3934	i r t + i r t + i r t	k ut ⁵⁵ + t un ⁵⁵ + m̥ ɔʔ ⁵⁵
7016	Maru	cuckoo	325	ku̱k⁵⁵tui³¹	3932 3933	i r t + i m r t	ˀk uk ⁵⁵ + tu u ui ³¹
8653	Bola	cuckoo	325	kuk⁵⁵tui³¹	3932 3933	i r t + i r t	k uk ⁵⁵ + t ui ³¹
#
3431	Achang_Longchuan	cucumber	1715	tiaŋ³¹xo³¹	3948 3949	i m r t + i r t	ti i iaŋ ³¹ + x o ³¹
8298	Maru	cucumber	1715	lə̆³¹khu³⁵	3950 3949	i r t + i r t	l ə̆ ³¹ + kh u ³⁵
10025	Bola	cucumber	1715	taŋ⁵⁵khɔ³¹	3948 3949	i r t + i r t	t aŋ ⁵⁵ + kh ɔ ³¹
#
3119	Achang_Longchuan	cuddle / embrace	1394	kʐuat³⁵	3964	i m r t	kʐ ʐ ʐuat ³⁵
7977	Maru	cuddle / embrace	1394	pɔ̱³¹tsaŋ³¹	3965 3966	i r t + i r t	ˀp ɔ ³¹ + ts aŋ ³¹
9700	Bola	cuddle / embrace	1394	pa̱⁵⁵	3965	i r t	ˀp a ⁵⁵
#
2283	Achang_Longchuan	cupboard / cabinet	493	kui³⁵	3974	i r t	k ui ³⁵
7166	Maru	cupboard / cabinet	493	ku̱i³⁵	3974	i r t	ˀk ui ³⁵
8814	Bola	cupboard / cabinet	493	pɔn³⁵	3975	i r t	p ɔn ³⁵
#
2673	Achang_Longchuan	curved / crooked / bent	913	kok⁵⁵	3980	i r t	k ok ⁵⁵
7547	Maru	curved / crooked / bent	913	ŋa̱uk³¹	3982	i r t	ˀŋ auk ³¹
9228	Bola	curved / crooked / bent	913	kuŋ³⁵	3981	i r t	k uŋ ³⁵
#
3306	Achang_Longchuan	curved, become / bent	1581	kok⁵⁵	3980	i r t	k ok ⁵⁵
8166	Maru	curved, become / bent	1581	kɔ̱i³¹	3980	i r t	ˀk ɔi ³¹
9892	Bola	curved, become / bent	1581	ŋa̱uʔ⁵⁵	3989	i r t	ˀŋ auʔ ⁵⁵
#
2978	Achang_Longchuan	cut (meat)	1237	xa³¹	3996	i r t	x a ³¹
7834	Maru	cut (meat)	1237	la̱i³⁵	3998	i r t	ˀl ai ³⁵
#
2821	Achang_Longchuan	cut (paper, cloth)	1068	xa³¹	4004	i r t	x a ³¹
7681	Maru	cut (paper, cloth)	1068	ȵɛ̱³⁵	4006	i r t	ˀȵ ɛ ³⁵
9382	Bola	cut (paper, cloth)	1068	tʃɛn³¹	4005	i r t	tʃ ɛn ³¹
#
8165	Maru	cut / gouge out	1580	kja̱uŋ³⁵	2811	i m r t	ˀkj j jauŋ ³⁵
#
3171	Achang_Longchuan	cut / rip open	1449	thiak³⁵	4018	i m r t	tʰi i iak ³⁵
8030	Maru	cut / rip open	1449	khɔʔ⁵⁵	4019	i r t	kh ɔʔ ⁵⁵
9754	Bola	cut / rip open	1449	thuŋ⁵⁵	4020	i r t	th uŋ ⁵⁵
#
2980	Achang_Longchuan	cut off / sever	1835	ʑit⁵⁵	4026	i r t	ʑ it ⁵⁵
7836	Maru	cut off / sever	1835	la̱i³⁵phjik⁵⁵	3998 4026	i r t + i m r t	ˀl ai ³⁵ + phj j jik ⁵⁵
9544	Bola	cut off / sever	1835	la̱i³⁵phjɔt⁵⁵	3998 4026	i r t + i m r t	ˀl ai ³⁵ + phj j jɔt ⁵⁵
#
3184	Achang_Longchuan	cut up (vegetable)	1462	tsuai⁵⁵	4042	i r t	ts uai ⁵⁵
8043	Maru	cut up (vegetable)	1462	xam³¹	12791	i r t	x am ³¹
9767	Bola	cut up (vegetable)	1462	nai⁵⁵	4044	i r t	n ai ⁵⁵
#
2400	Achang_Longchuan	cymbals	620	tʂham³¹tʂhai³⁵	4050 4051	i r t + i r t	tʂʰ am ³¹ + tʂʰ ai ³⁵
7275	Maru	cymbals	620	tʃhaŋ⁵⁵tʃhɛʔ³¹	4055 4052	i r t + i r t	tʃh aŋ ⁵⁵ + tʃh ɛʔ ³¹
8937	Bola	cymbals	620	tʃhaŋ³¹tʃhɛʔ⁵⁵	4055 4052	i r t + i r t	tʃh aŋ ³¹ + tʃh ɛʔ ⁵⁵
#
3263	Achang_Longchuan	damage / spoil	1839	kʐəʔ⁵⁵	4068	i m r t	kʐ ʐ ʐəʔ ⁵⁵
8122	Maru	damage / spoil	1839	lɔ̱ʔ⁵⁵xum⁵⁵	10305 4071	i r t + i r t	ˀl ɔʔ ⁵⁵ + x um ⁵⁵
